lat,long,
47.25933,-52.77213, 
47.25931,-52.77214, 
47.2593,-52.77215, 
47.2593,-52.77217, 
47.2593,-52.77217, 
47.25927,-52.77217, 
47.25926,-52.77218, 
47.25926,-52.7722, 
47.25925,-52.77221, 
47.25924,-52.77223, 
47.25922,-52.77225, 
47.25921,-52.77227, 
47.25921,-52.77229, 
47.25921,-52.77231, 
47.2592,-52.77233, 
47.25921,-52.77234, 
47.25922,-52.77236, 
47.25924,-52.77237, 
47.25925,-52.77237, 
47.25926,-52.77238, 
47.25927,-52.77239, 
47.25928,-52.7724, 
47.2593,-52.77241, 
47.25931,-52.77241, 
47.25932,-52.77242, 
47.25934,-52.77242, 
47.25935,-52.77243, 
47.25937,-52.77243, 
47.25939,-52.77244, 
47.2594,-52.77244, 
47.25941,-52.77244, 
47.25942,-52.77245, 
47.25944,-52.77244, 
47.25945,-52.77243, 
47.25946,-52.77241, 
47.25947,-52.7724, 
47.25947,-52.77239, 
47.25948,-52.77237, 
47.25949,-52.77235, 
47.25949,-52.77233, 
47.2595,-52.77232, 
47.25951,-52.77229, 
47.25951,-52.77227, 
47.25952,-52.77226, 
47.25953,-52.77224, 
47.25954,-52.77223, 
47.25954,-52.7722, 
47.25956,-52.77219, 
47.25957,-52.77218, 
47.25958,-52.77217, 
47.25959,-52.77216, 
47.2596,-52.77215, 
47.25961,-52.77215, 
47.25963,-52.77215, 
47.25964,-52.77216, 
47.25965,-52.77217, 
47.25966,-52.77219, 
47.25967,-52.7722, 
47.25968,-52.77221, 
47.2597,-52.77222, 
47.25971,-52.77223, 
47.25973,-52.77224, 
47.25974,-52.77224, 
47.25976,-52.77224, 
47.25977,-52.77223, 
47.25978,-52.77222, 
47.2598,-52.77222, 
47.25981,-52.77222, 
47.25982,-52.77223, 
47.25983,-52.77224, 
47.25983,-52.77226, 
47.25983,-52.77228, 
47.25983,-52.7723, 
47.25983,-52.77232, 
47.25982,-52.77234, 
47.25981,-52.77235, 
47.2598,-52.77237, 
47.2598,-52.77239, 
47.25981,-52.7724, 
47.25981,-52.7724, 
47.25983,-52.77241, 
47.25984,-52.77242, 
47.25985,-52.77243, 
47.25987,-52.77243, 
47.25988,-52.77244, 
47.2599,-52.77244, 
47.25991,-52.77245, 
47.25992,-52.77246, 
47.25993,-52.77247, 
47.25993,-52.77247, 
47.25994,-52.77249, 
47.25996,-52.7725, 
47.25996,-52.77251, 
47.25996,-52.77254, 
47.25995,-52.77254, 
47.25994,-52.77254, 
47.25992,-52.77254, 
47.25991,-52.77254, 
47.25989,-52.77254, 
47.25988,-52.77255, 
47.25987,-52.77255, 
47.25985,-52.77255, 
47.25984,-52.77254, 
47.25983,-52.77254, 
47.25982,-52.77253, 
47.25981,-52.77252, 
47.2598,-52.7725, 
47.25979,-52.77247, 
47.25978,-52.77245, 
47.25977,-52.77243, 
47.25975,-52.77243, 
47.25974,-52.77243, 
47.25972,-52.77242, 
47.25971,-52.77242, 
47.25969,-52.77242, 
47.25968,-52.77241, 
47.25967,-52.77241, 
47.25965,-52.77241, 
47.25965,-52.77241, 
47.25963,-52.77241, 
47.25962,-52.77241, 
47.2596,-52.77242, 
47.25959,-52.77242, 
47.25958,-52.77243, 
47.25957,-52.77244, 
47.25956,-52.77245, 
47.25954,-52.77246, 
47.25953,-52.77247, 
47.25952,-52.77248, 
47.25951,-52.77249, 
47.25949,-52.7725, 
47.25948,-52.7725, 
47.25947,-52.77251, 
47.25945,-52.77252, 
47.25943,-52.77253, 
47.25942,-52.77254, 
47.2594,-52.77255, 
47.25938,-52.77256, 
47.25937,-52.77256, 
